Symbol chromosome start end
CYP3A4 7 99756960 99784188
CRP 1 159712289 159714609
NOS3 7 150991056 151014599
CDKN2A 9 21967752 21995043
ABCA1 9 104781002 104928246
ALPL 1 21508982 21578412
IL1B 2 112829751 112836779
AKT1 14 104769349 104795743
COL1A1 17 50184096 50201648
FADS1 11 61799625 61817057
PAPPA 9 116153792 116402321
UGT1A6 2 233691675 233773305
VDR 12 47841537 47905031
NPPC 2 231922095 231926389
CFTR 7 117478340 117668665
PPARG 3 12287850 12471013
EGF 4 109912883 110012962
TLR4 9 117704175 117717491
BRAF 7 140715951 140924764
CXCL8 4 73740506 73743716
KRAS 12 25204789 25250931
STAT3 17 42313324 42388503
ATXN3 14 92058552 92106621
INSR 19 7112255 7294000
CYP3A5 7 99648189 99680026
PTEN 10 87863438 87971930
CTNNB1 3 41199451 41240448
IKZF1 7 50303465 50405101
GSTM1 1 109687796 109693745
ALB 4 73404255 73421412
CD4 12 6789472 6820810
SNCA 4 89724099 89838314
IGF1 12 102395867 102481786
RYR2 1 237042238 237833988
TERT 5 1253167 1295047
CDH1 16 68737292 68835542
CREBBP 16 3725054 3880120
KCNQ1 11 2444991 2849110
BCL2 18 63123346 63319778
PTPN22 1 113813811 113871757
F12 5 177402138 177416524
MAPT 17 45894382 46028334
LEP 7 128241202 128257629
TLR3 4 186069155 186085098
CD209 19 7739988 7747605
TYMP 22 50525752 50530085
POU5F1 6 31164337 31170693
LIN28B 6 104936999 105083332
MYC 8 127736069 127741434
JAK2 9 4985245 5128183
CPS1 2 210477682 210679107
CCR5 3 46370142 46376206
MDM2 12 68808168 68845544
BRCA2 13 32314862 32399850
GSTT1 22  
MMP2 16 55478830 55506691
SERPINE1 7 101127089 101139266
MAPK1 22 21759657 21867680
APOA4 11 116820702 116823295
UGT1A7 2 233681938 233773299
GNA12 7 2728105 2870656
MTOR 1 11106531 11262557
TSHR 14 80954989 81146302
PML 15 73994673 74047819
F2 11 46719192 46739506
IL12B 5 159314783 159330473
ESR2 14 64172925 64338550
F5 1 169511954 169586531
CCND1 11 69641105 69654474
FCGR2A 1 161505415 161524048
CD44 11 35138870 35232402
BIRC5 17 78214196 78225635
CDKN1A 6 36676460 36687339
GSTP1 11 67583595 67586653
HLA-DQB1 6 32659464 32666689
PDGFRA 4 54229097 54298245
ABCC4 13 95019829 95301446
RUNX2 6 45327800 45664032
NPPB 1 11857464 11858935
SOD1 21 31659622 31668931
IGF2BP3 7 23310209 23470527
CD36 7 80602188 80679277
IDO1 8 39913809 39928790
PPID 4 158709127 158723400
MC4R 18 60371331 60372768
GJB2 13 20187463 20192975
CTLA4 2 203867788 203873960
CYP2D6 22 42125656 42135378
KLKB1 4 186210753 186258474
PAH 12 102838321 102917603
MLH1 3 36993350 37050846
FAS 10 88969801 89017059
DRD2 11 113409595 113475279
MBL2 10 52765380 52772841
PLAG1 8 56160909 56211314
TLR2 4 153684256 153706091
XRCC1 19 43543312 43575578
ATM 11 108222500 108369102
ADRB2 5 148826593 148828634
LPA 6 160531483 160666375
ANGPT2 8 6499651 6563263
ATXN2 12 111452214 111599676
BCR 22 23180365 23318037
SLC2A9 4 9771125 10040248
GHR 5 42423775 42721878
ICAM1 19 10270841 10286615
NR3C1 5 143277931 143435512
NT5E 6 85449584 85495791
IL4R 16 27313668 27364778
TFRC 3 196049284 196082161
CALR 19 12938600 12944490
FUT2 19 48695971 48705934
SIRT1 10 67884662 67918390
PIK3CA 3 179148114 179240084
ABCC1 16 15949577 16143074
AGT 1 230702523 230714590
MAPK14 6 36027635 36111236
CBS 21 43053191 43076868
EPAS1 2 46297402 46386703
IL18 11 112143251 112164117
HMOX1 22 35381067 35394214
SPP1 4 87975650 87983411
SCD 10 100347015 100364831
RB1 13 48303747 48481890
GHRL 3 10285750 10292947
IL17A 6 52186387 52190638
POLG 15 89316305 89334795
UGT1A4 2 233718792 233773299
IL4 5 132673986 132682678
NOD2 16 50693581 50733081
RELA 11 65653596 65662972
MYH9 22 36281277 36388067
VWF 12 5948874 6124670
ERG 21 38367261 38661833
CCND3 6 41934933 42048894
NOTCH1 9 136494444 136545786
SRC 20 37344685 37405432
SH2B3 12 111405108 111451624
FSHR 2 48866435 49154527
HBB 11 5225466 5227071
CASP3 4 184627696 184649475
CYP1A1 15 74719542 74725610
SOD2 6 159679116 159693321
RET 10 43077027 43130351
MET 7 116672405 116798386
HLA-G 6 29826979 29831122
FOXP3 X 49250436 49269727
ITGB1 10 32900318 32958365
LRRK2 12 40225011 40369285
INS 11 2159779 2161209
HHIP 4 144645996 144741400
UGT1A10 2 233636477 233773305
NPR3 5 32689076 32791724
TSC2 16 2047936 2088712
GSK3B 3 119821321 120094417
SMARCB1 22 23786963 23834518
SLC22A4 5 132294384 132344206
SEMA3A 7 83956805 84492724
POMC 2 25160853 25168871
MAPK3 16 30114105 30123309
TGFBI 5 136028895 136063818
IL1RN 2 113099365 113134016
SLC22A1 6 160121789 160159198
SLC6A3 5 1392790 1445428
EDN1 6 12261214 12297194
ACADS 12 120725738 120740008
CDKN1B 12 12717270 12722383
AGTR1 3 148697871 148743003
STAT2 12 56341597 56360253
BMP6 6 7726778 7881728
CACNA1C 12 1970786 2697949
AGER 6 32180968 32184322
JUN 1 58780791 58784113
MMP1 11 102789910 102798235
BAX 19 48954860 48961798
APC 5 112707505 112846239
LIPG 18 49560699 49592908
CAV1 7 116524785 116561185
FADS2 11 61816203 61867354
NFE2L2 2 177230303 177265131
NKX2-1 14 36516397 36520225
SP1 12 53380195 53416446
TNFSF10 3 172505508 172523507
RAC1 7 6374495 6403967
LYN 8 55878463 56012447
HMGB1 13 30458740 30465944
IGFBP3 7 45912245 45921272
CFH 1 196651878 196747504
PARP1 1 226360691 226408100
CX3CR1 3 39263494 39281735
MUC1 1 155185824 155192915
F8 X 154835788 155026934
PRKCZ 1 2050470 2185395
PTCH1 9 95442982 95516965
HBA1 16 176651 177522
PRKCE 2 45651315 46187990
ABCG2 4 88090264 88231417
TP63 3 189566861 189897279
NRXN1 2 49918505 51032536
NOS2 17 27756766 27804341
ANGPT1 8 107249482 107498026
SRD5A2 2 31522488 31700784
PSEN1 14 73136435 73223691
HTR2A 13 46831542 46897076
HGF 7 81699006 81770438
FMR1 X 147911951 147951127
CD14 5 140631728 140633701
THRB 3 24117153 24495281
DRD4 11 637305 640706
KDR 4 55078259 55125595
UGT1A3 2 233729127 233773299
PNPLA3 22 43923739 43947568
IL1A 2 112773915 112785394
NOG 17 56593699 56595590
LMNA 1 156082546 156140089
EP300 22 41092610 41180077
WT1 11 32387775 32435535
ERCC2 19 45351391 45370646
DNMT3A 2 25232961 25342590
EFEMP1 2 55865962 55924163
ABCG8 2 43828954 43880189
KCNH2 7 150944956 150978314
MGMT 10 129467190 129768042
VHL 3 10141635 10153670
FTO 16 53703963 54114467
PTK2 8 140658382 141001313
RHOA 3 49359136 49412093
ABL1 9 130713881 130887675
PGR 11 101029624 101130668
HRAS 11 532242 535561
TOMM40 19 44891220 44903689
MAPK8 10 48306639 48439360
APEX1 14 20455131 20457772
MSH2 2 47403067 47564579
FLT3 13 28003274 28100592
TTR 18 31591767 31599024
IHH 2 219054420 219060516
TGFB2 1 218345334 218444619
TNFRSF11B 8 118923557 118952144
FGF2 4 122826708 122898235
UGT1A8 2 233617645 233773299
IL2 4 122451470 122456495
PRKCA 17 66302782 66810744
MIF 22 23894378 23895222
MECP2 X 154021813 154097731
TCF7L2 10 112950219 113167678
CASP8 2 201233443 201287711
SCN5A 3 38548058 38649673
HSP90AA1 14 102080738 102139759
RARB 3 25174332 25597932
RARB 3 24829344 25120621
KITLG 12 88492793 88580473
NPM1 5 171387648 171410884
SERPINA1 14 94376747 94390692
MPO 17 58269855 58284313
F3 1 94529176 94541857
STAT1 2 190969036 191014250
EZH2 7 148807372 148884349
IFNL3 19 39243606 39247034
HLA-DQA1 6 32637396 32654774
NEDD4 15 55826917 55993746
LCN2 9 128149453 128153455
AIRE 21 44285838 44298219
HTT 4 3074510 3243960
MAOA X 43654907 43746824
PTPN11 12 112418732 112509918
HSPA5 9 125234848 125241387
FN1 2 215360454 215436167
LGALS3 14 55129217 55145430
TGFA 2 70447280 70554015
CYP2E1 10 133527363 133539116
FASLG 1 172659008 172666873
CCL5 17 35871491 35880373
MMP3 11 102835797 102843611
CCL3 17 36088256 36090160
ADAM12 10 126012385 126388558
IL6ST 5 55935095 55994993
HDAC1 1 32292107 32333628
ERCC1 19 45407333 45478820
TP73 1 3652565 3736201
OGG1 3 9749944 9788246
MKI67 10 128096659 128126363
GGT1 22 24583750 24629005
IGF2 11 2129112 2149603
TEK 9 27109141 27230178
FGFR4 5 177086872 177098142
KCNMA1 10 76869601 77637819
TLR9 3 52221080 52226163
OPRM1 6 154010496 154246867
LEPR 1 65420652 65637493
FLT1 13 28300346 28495128
SNAI2 8 48917677 48921440
BCL2L1 20 31664452 31723964
FCGR2B 1 161663115 161678654
GLS2 12 56470944 56488414
E2F1 20 33675486 33686404
FGFR2 10 121478330 121598656
AURKA 20 56369389 56392295
CST3 20 23627897 23638048
TNFRSF1A 12 6328757 6342117
ALDH2 12 111766887 111809985
HSPB1 7 76302558 76304297
RUNX1 21 34787801 35049310
TARDBP 1 11012622 11025492
RETN 19 7669086 7670454
ALK 2 29192774 29921611
CYP17A1 10 102830531 102837533
TYMS 18 657604 673499
CHEK2 22 28687743 28741905
IDH1 2 208236227 208255143
UBC 12 124911645 124915041
GNAS 20 58839740 58911195
GJA1 6 121435577 121449744
CD40LG X 136648177 136660390
CD40 20 46118250 46129745
TACR1 2 75046463 75199519
CDK1 10 60778331 60794852
MX1 21 41420329 41459214
FGFR3 4 1793299 1808872
SMAD4 18 51030213 51085042
PRKCD 3 53161207 53192717
CYP2C8 10 95036772 95069498
DMD X 31119219 33339609
TNFSF11 13 42562736 42608013
C3 19 6677835 6720682
PLAUR 19 43646095 43670346
CTGF 6 131948176 131951378
TET2 4 105145875 105279803
GRB2 17 75318076 75405709
TIMP1 X 47582291 47586791
SLC2A1 1 42925375 42959176
CSNK2A1 20 472969 543838
PLAU 10 73909182 73917501
PLK1 16 23678822 23690367
IL13 5 132658173 132661109
RAD51 15 40694774 40732158
CDK2 12 55966769 55972789
ETFDH 4 158672101 158708713
CYP1B1 2 38067603 38076181
NF1 17 31007873 31377677
NQO1 16 69709401 69726668
PRODH 22 18912695 18936553
CASR 3 122183667 122286503
PROM1 4 15968226 16119884
MCL1 1 150574551 150579738
MEFV 16 3242028 3256627
TRIM5 11 5590982 5685109
F7 13 113105788 113120681
BSG 19 571277 583493
PPARGC1A 4 23792021 24472771
PCNA 20 5114953 5126622
FOLH1 11 49146635 49208670
CXCL10 4 76021116 76023536
NRG1 8 31639304 32767957
CNR1 6 88139864 88166745
PPARA 22 46150547 46243756
APOBEC3G 22 39077005 39087743
PDCD1 2 241849881 241858908
GH1 17 63917193 63918852
CADM1 11 115173625 115504523
CLU 8 27596917 27615031
NAMPT 7 106248285 106285732
LTA 6 31560550 31574324
SLC2A4 17 7281735 7288048
SMAD3 15 67065627 67195195
ADAMTS13 9 133414339 133459403
CBL 11 119206276 119308149
CYP4A11 1 46929174 46941499
PRKD1 14 29576479 29927693
IL2RA 10 6010694 6062370
PIK3R1 5 68215756 68301821
IRS1 2 226731317 226798790
CREB1 2 207529892 207605560
CDH13 16 82626794 83796610
MMP14 14 22836533 22847600
FGF23 12 4368227 4379728
SOCS2 12 93569822 93626236
KLK3 19 50854915 50877702
KIR3DL1 19 54816438 54830778
ALMS1 2 73385758 73609919
RASSF1 3 50329786 50340936
FBN1 15 48408306 48645788
VCAM1 1 100719640 100739045
THBS1 15 39581079 39597467
XIAP X 123859812 123913979
HSPA4 5 133051970 133105017
FEN1 11 61792637 61797244
ITGAV 2 186590063 186680902
DPP4 2 161992241 162074542
NCOA2 8 70109770 70405437
FGFR1 8 38411138 38468834
SYK 9 90801680 90898560
LOXL1 15 73926448 73952137
PARK7 1 7961654 7985283
CD274 9 5450381 5470567
SQSTM1 5 179806388 179838078
CXCR1 2 218162845 218166993
KNG1 3 186717309 186744410
CCL11 17 34285668 34288180
RAF1 3 12583601 12664201
GBA 1 155234448 155244862
EPO 7 100720800 100723700
CALCA 11 14966669 14972286
CYP1A2 15 74748843 74756600
SHH 7 155802864 155812273
SHH 7 155799980 155801870
ENG 9 127815012 127854773
NFKBIA 14 35401510 35404754
ITGB2 21 44885949 44928873
CYP21A2 6 32038316 32041670
PPIA 7 44796636 44803123
DNMT1 19 10133345 10195079
B2M 15 44711487 44718159
CDC42 1 22052627 22092943
G6PD X 154531390 154547586
HNF4A 20 44355801 44432845
PKD2L1 10 100288145 100346524
EZR 6 158765741 158819424
ARSA 22 50622754 50628173
TGM2 20 38128461 38166509
GNB3 12 6840854 6847395
HAMP 19 35282507 35285143
FYN 6 111660332 111873452
GHSR 3 172443291 172448456
ADM 11 10304980 10307402
KMT2A 11 118436490 118526824
PROC 2 127418405 127429246
ACADL 2 210187990 210225491
CEBPA 19 33299934 33302564
TNFRSF1B 1 12166949 12209222
ANGPTL3 1 62597487 62606305
PRKACA 19 14091688 14117747
TGFBR2 3 30606493 30694142
TWIST1 7 19113047 19117672
IL15 4 141636596 141733987
ANPEP 15 89784895 89814854
SELE 1 169722640 169734079
S100B 21 46598618 46605122
BMI1 10 22321210 22331485
GRN 17 44345086 44353106
TNFSF13B 13 108269420 108308484
ADGRG6 6 142301919 142446266
TRAF6 11 36483767 36510313
PADI4 1 17308195 17364004
FOXO3 6 108559823 108684769
HP 16 72054609 72061056
LCK 1 32251239 32286170
VIM 10 17227935 17237593
CCR2 3 46353744 46360940
HSPA1A 6 31815514 31817942
NLRP3 1 247415904 247449108
VEGFC 4 176683534 176792745
TOP2A 17 40388521 40417950
P2RX7 12 121132819 121186551
SOX2 3 181711924 181714436
ALOX12 17 6994196 7010754
PRKDC 8 47773108 47960183
VKORC1 16 31090854 31096337
ABCC6 16 16149565 16223673
TNNT2 1 201359008 201377765
TFAM 10 58385143 58399230
ATP7B 13 51891086 52012099
FOXO1 13 40555664 40666660
MMP7 11 102520508 102530747
FHIT 3 59747587 61251459
HTR1A 5 63960048 63962292
KCNJ11 11 17364824 17389331
EGR1 5 138465492 138469315
SELP 1 169588849 169630139
PCSK5 9 75890601 76362339
PLG 6 160702193 160754054
RBP4 10 93591836 93601236
LGALS1 22 37675606 37679802
NBN 8 89933336 89984733
FUT8 14 65410592 65744121
CCND2 12 4273733 4305356
ADRB1 10 114044047 114046908
AKR1C3 10 5048766 5107686
PDGFRB 5 150113839 150155884
F2R 5 76716043 76735770
FCGR3A 1 161541759 161550623
FGB 4 154562980 154572763
ITGA2B 17 44372181 44389505
UQCC1 20 35302566 35412142
SUMO1 2 202206180 202238599
CHI3L1 1 203178931 203186960
CHEK1 11 125624920 125676259
TGFBR1 9 99104038 99154192
HPSE 4 83292461 83335153
PITX1 5 135027734 135034274
MC1R 16 89917879 89920977
TOP1 20 41028822 41124487
CYP11B2 8 142910558 142917862
PYY 17 43952733 44024260
ACAN 15 88803442 88875354
ADRB3 8 37962995 37966666
SCN1A 2 165989160 166149272
ANXA2 15 60347151 60397986
COL2A1 12 47972965 48025286
STK11 19 1205799 1228435
PLTP 20 45898620 45912364
BCL2L11 2 111120618 111168445
EPCAM 2 47369148 47387028
BACE1 11 117285686 117316256
AMH 19 2249114 2252073
PNOC 8 28316991 28343355
DYRK1A 21 37365790 37515376
UBE2L3 22 21549447 21624034
PLAT 8 42174718 42207676
SLC4A1 17 44248390 44268161
THBD 20 23045633 23049664
TFR2 7 100620416 100642765
IGFBP7 4 57031071 57110385
MCPH1 8 6406592 6643619
SHC1 1 154962298 154974492
NOTCH3 19 15159633 15200981
PRKG1 10 50991151 52298350
SOCS3 17 78356777 78360079
LRP1 12 57128499 57213359
TRIP11 14 91965991 92040140
PIN1 19 9835207 9849689
PSAP 10 71816298 71851325
FLG 1 152302163 152325257
NOS1 12 117208142 117361802
SPTA1 1 158610498 158686716
LTF 3 46436005 46465142
LTF 3 46468135 46485234
PTX3 3 157436791 157443628
COL4A3 2 227164565 227314792
DRD3 3 114127797 114199407
GLI3 7 41960949 42264112
SLC7A5 16 87830023 87869497
DOT1L 19 2164127 2232578
FMO3 1 171090877 171117821
XRCC3 14 103697608 103715486
AGXT 2 240868745 240879119
TBX2 17 61394698 61409466
DKK1 10 52314281 52317657
CEBPB 20 50190583 50192690
BMP4 14 53949736 53956836
PIK3CG 7 106865278 106908978
ATR 3 142449235 142578826
ITGA2 5 52989326 53094779
RECK 9 36036913 36124455
BECN1 17 42810132 42824292
MYCN 2 15940438 15947007
TF 3 133661998 133779006
REV3L 6 111299031 111483715
TNNI3 19 55151767 55157732
CD34 1 207881028 207911338
FOXP2 7 114086310 114693772
DICER1 14 95086228 95158010
SLCO1B3 12 20810704 20916911
F2RL1 5 76819008 76835315
H2AFX 11 119093874 119095467
FGA 4 154583128 154590745
PAK1 11 77321551 77474063
GCK 7 44144271 44189423
HSPD1 2 197486584 197500274
IFNB1 9 21077105 21077944
FLI1 11 128686535 128813267
UCP2 11 73974671 73982844
NRAS 1 114704464 114716894
IAPP 12 21372868 21379980
LYZ 12 69348354 69354233
FOXP1 3 70954714 71583989
RUNX3 1 24899511 24965157
CAMP 3 48223347 48225491
VCP 9 35056068 35072742
ADORA2A 22 24423597 24442360
DKK3 11 11962996 12009370
MME 3 155024124 155183729
NPY 7 24284188 24291865
TIMP2 17 78852977 78925390
CAT 11 34438925 34472060
JAZF1 7 27830573 28180818
PAX6 11 31784792 31817961
PINK1 1 20633455 20651511
ERBB3 12 56080025 56103507
HDAC2 6 113936156 113971195
RXRA 9 134326463 134440586
MTNR1B 11 92969623 92986240
ADAM17 2 9489263 9555788
ADRA1A 8 26742847 26871008
SMAD2 18 47833095 47931193
IL21 4 122612628 122621057
PTH 11 13492054 13496020
PPP2R4 9 129110945 129148946
TRPV1 17 3565446 3609411
CDK4 12 57747727 57752447
HBA2 16 172847 173710
CYP4F2 19 15878024 15898120
YAP1 11 102110254 102233423
CYBA 16 88643289 88651085
SDC1 2 20200797 20225433
SNAI1 20 49982976 49988886
TPMT 6 18128311 18155165
XPC 3 14145147 14178672
IGFBP1 7 45888360 45893668
ATRIP 3 48446710 48465655
KLRK1 12 10372353 10390054
IKBKB 8 42271302 42332653
SPARC 5 151661096 151687054
PRKCB 16 23835979 24220611
CYP2A6 19 40843538 40850447
AFP 4 73423104 73455785
MTRR 5 7851186 7901124
SKP2 5 36151989 36192788
COL5A1 9 134641786 134844843
HERC2 15 28111037 28322172
FOS 14 75278778 75282234
FOXM1 12 2857681 2877155
TTN 2 178525989 178830754
EIF2AK2 2 37104683 37157065
CYP2B6 19 40991229 41018398
ZAP70 2 97713568 97744327
S100A9 1 153357854 153361027
GP1BA 17 4932275 4935030
NCAM1 11 112961247 113278436
F9 X 139530734 139563464
APOC2 19 44945982 44949565
CFLAR 2 201116154 201172688
MEN1 11 64803514 64811294
SHBG 17 7614064 7633383
IL6R 1 154405193 154469450
IL33 9 6215149 6257983
ATF6 1 161766244 161964070
NME1 17 51153559 51162089
FLNA X 154348529 154374638
PRL 6 22287244 22302883
ADH1B 4 99306387 99321442
STIM1 11 3855703 4093210
RARA 17 40309171 40357643
F10 13 113122799 113149529
ETS1 11 128458761 128587584
ELAVL1 19 7958573 8005645
GCG 2 162142869 162152404
TXN 9 110243812 110256640
AURKB 17 8204731 8210776
RYR1 19 38433700 38587564
CD28 2 203706475 203738912
FGG 4 154604134 154612750
FUS 16 31179704 31194871
DDX58 9 32455302 32526324
WRN 8 31033262 31173761
UBE2I 16 1309153 1327018
MYD88 3 38138478 38143022
CASP9 1 15491401 15526529
SORT1 1 109309565 109397941
MAX 14 65006101 65102695
CRYAB 11 111908620 111913213
CDX2 13 27960057 27969368
AQP1 7 30911800 30925516
F13A1 6 6144078 6321013
S100A4 1 153543619 153545806
CCNE1 19 29811898 29824312
EIF4E 4 98878456 98930635
PTPN6 12 6946576 6961316
SERPINF1 17 1761965 1777565
LBP 20 38346411 38377011
PHGDH 1 119711737 119744226
EIF2AK3 2 88556741 88627576
MYOC 1 171635417 171652633
SLC7A9 19 32830511 32870167
CA9 9 35673918 35681159
C9orf72 9 27546546 27573866
PECAM1 17 64319415 64413801
CCNB1 5 69167010 69178245
IKBKG X 154541204 154568573
ACTB 7 5527148 5530601
SLC26A4 7 107660635 107717809
TPH2 12 71938846 72035297
OLR1 12 10158300 10176261
PTPN1 20 50510321 50584762
MUTYH 1 45329242 45340470
NGF 1 115285916 115338384
PLA2G7 6 46704316 46735701
PTPRC 1 198638968 198757476
MEF2C 5 88718241 88904105
HSPA8 11 123057492 123062366
ZBTB38 3 141324213 141449792
NR1I2 3 119780484 119818485
CALM1 14 90396983 90408275
SREBF1 17 17811349 17837017
CTSB 8 11842524 11868137
BCL6 3 187721377 187745725
DNMT3B 20 32762385 32809356
GDF15 19 18386158 18389176
IRF3 19 49659569 49665875
SOCS1 16 11254417 11256182
TNFAIP3 6 137866317 137883314
WNT5A 3 55465715 55505261
SFTPD 10 79937740 79982236
YBX1 1 42682389 42702363
IGF2BP2 3 185643131 185825039
FRS2 12 69470349 69579793
MSH6 2 47783082 47806953
ABCC2 10 99782598 99852576
ROCK1 18 20949740 21111851
DDC 7 50458436 50565457
AQP4 18 26852043 26865752
HLA-DPB1 6 33075926 33089696
CHRNA7 15 32030483 32172521
GATA3 10 8045428 8075201
CHUK 10 100186113 100229610
NF2 22 29603556 29698600
SCARB1 12 124777628 124863973
COL1A2 7 94394561 94431232
CYBB X 37780017 37813465
USH2A 1 215622894 216423396
IL23R 1 67138640 67259979
PPARD 6 35342558 35428191
SOX9 17 72121020 72126420
BTK X 101349447 101390796
SMN1 5 70924941 70953015
AGR2 7 16791811 16805114
XPO1 2 61477934 61538522
YWHAZ 8 100918576 100954596
TBP 6 170554333 170572870
GZMB 14 24630948 24634226
PDGFB 22 39223680 39244952
SKI 1 2228695 2310213
HTR2C X 114584078 114910061
ELN 7 74027772 74069907
MYH7 14 23412738 23435686
CHGA 14 92922589 92935293
IGFBP2 2 216633404 216664436
HRH1 3 11137093 11263253
NUCB2 11 17260337 17349980
KL 13 33016063 33066145
UBE2N 12 93408312 93443445
LIN28A 1 26410778 26429728
NTRK1 1 156815750 156881850
RPS6KB1 17 59893046 59950426
ITGA5 12 54395261 54419266
FXN 9 69035563 69100178
PLCG1 20 41137519 41175721
XRCC6 22 41621163 41664048
L1CAM X 153861514 153886174
XRCC5 2 216109297 216206293
ITGAM 16 31259967 31332892
NCOA3 20 47501857 47656877
ELANE 19 850997 856250
CTSD 11 1752752 1763992
EPHX1 1 225810074 225845563
PKD1 16 2088708 2135898
ANG 14 20684177 20694186
BST2 19 17402939 17405648
GPX1 3 49357176 49358358
DEFB4A 8 7894565 7896716
IL12A 3 159988836 159996019
CACNA1A 19 13206442 13506460
MDC1 6 30699807 30717966
SMARCA4 19 10960922 11062282
REN 1 204154816 204166337
PRKAG2 7 151556114 151877231
NGFR 17 49495293 49515020
NTRK2 9 84668458 85027070
TNFRSF10B 8 23006383 23069187
BCHE 3 165772904 165837472
ACTA1 1 229431245 229434096
GAPDH 12 6534405 6538375
ALOX5 10 45374176 45446121
APOH 17 66212029 66229438
CD38 4 15778298 15849083
HSD11B1 1 209686180 209734950
ALDH1A1 9 72900662 72953317
MAP2K1 15 66386873 66491544
NES 1 156668763 156677397
MUC5AC 11 1157953 1201138
ACE2 X 15494402 15602069
ERBB4 2 211375717 212539155
CDKN2B 9 22002903 22009313
TG 8 132866935 133134902
ID1 20 31605283 31606515
SAA1 11 18266261 18269977
PGF 14 74941830 74955764
RHO 3 129528639 129535344
CPT2 1 53196429 53214197
ANXA1 9 73151731 73170393
ADA 20 44619522 44652233
OXTR 3 8750408 8854549
HGS 17 81683932 81702121
KLF4 9 107484852 107489766
GLI1 12 57460135 57472268
ILK 11 6603708 6610874
CR1 1 207496128 207641765
NPPA 1 11845709 11847783
STAT6 12 57095404 57111433
CSF2 5 132073792 132076170
LHCGR 2 48686774 48755741
IL22 12 68248245 68253501
NR1I3 1 161229666 161238598
CXCR2 2 218125290 218137253
GABRB3 15 26543546 26773788
HRH4 18 24460568 24487427
SLC22A2 6 160216762 160258931
IL7R 5 35856875 35879603
PTHLH 12 27958084 27972731
UCHL1 4 41256881 41268429
GRM3 7 86643914 86864879
SERPINB5 18 63476911 63505085
POLR2A 17 7484379 7514618
IFNA1 9 21440454 21441316
ABCA4 1 93992837 94121149
RBBP8 18 22914121 23026488
GPC5 13 91398619 92867237
KISS1 1 204190341 204196491
NCL 2 231454748 231464494
PRKAA1 5 40759379 40798195
HLA-E 6 30489406 30494205
PRKG2 4 81087370 81216743
MMP13 11 102942992 102955734
STAT5A 17 42287547 42311943
CDH2 18 27932879 28177481
MTR 1 236794304 236903981
CRHR1 17 45784280 45835828
AICDA 12 8602166 8612888
TNC 9 115019575 115118257
ABCC8 11 17392885 17476845
TIMP3 22 32800816 32863041
ENPP1 6 131808016 131895155
SERPINC1 1 173903800 173917378
AHSG 3 186613061 186621318
HDAC3 5 141620876 141636856
PTK2B 8 27311482 27459391
RPA1 17 1829979 1899554
CDK9 9 127786026 127790773
DISC1 1 231626815 232041272
TH 11 2163929 2172137
MYB 6 135180981 135219173
PTGS1 9 122370530 122395705
LRP5 11 68298866 68449275
PKM 15 72199029 72231812
BMP7 20 57168753 57266651
NR3C2 4 148078764 148445278
CX3CL1 16 57372461 57385048
EPOR 19 11377205 11384342
SOST 17 43753731 43758788
IL7 8 78675872 78805523
MUC16 19 8848844 8981342
